year,dry_area_km2,monsoon_area_km2,seasonal_area_km2
1988,526.8808418350308,6823.364332538862,6431.707402935085
1990,1176.3088545410376,3826.4551048814583,3041.413102246128
1992,1898.7869369415275,1454.43852679994,1076.8699097036142
1994,726.275737043787,2016.9726029982924,1749.571490394442
1996,511.46424866465105,3146.600828318982,2610.7161771289893
1998,608.9403167718879,3414.0299366764716,3072.4381642327676
2000,1384.5814218596274,3286.759053393211,2535.7135424907538
2002,650.8380815781126,3416.805642070573,3058.9064911280525
2004,693.3553645349828,4531.436633997001,4047.528481291911
2006,621.998279671903,3358.234500418833,2971.474279840855
2008,1190.279106509277,3040.4931165936177,2452.000001961984
2010,818.7187984761408,3459.422082706503,2993.133205612069
2012,574.0576788695936,2569.084657473473,2199.725378143721
2014,740.9274499201657,2539.273490796174,2166.1881613903843
2016,876.768275543348,3355.6651182695373,2935.0620618676985
2018,1180.89227908469,2251.0616951608986,1819.8764058575232
2020,694.967879377492,2615.6504715504925,2276.628986661544
2022,377.76698632047163,3495.6194877688918,3207.475021182264
2024,1026.5701907599039,3179.1088777190535,2516.9796585024933
